date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:02	26465/26465	---MCZ	200	added ('OK')	text/html	etag:W/%226473e910-6761%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-carousel.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-carousel.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:02	22511/22511	---MCZ	200	added ('OK')	text/html	etag:W/%226473e910-57ef%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-interactive-center-horizontal.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-interactive-center-horizontal.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:02	22397/22397	---MCZ	200	added ('OK')	text/html	etag:W/%226473e910-577d%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-interactive-center.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-interactive-center.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:02	31867/31867	---MCZ	200	added ('OK')	text/html	etag:W/%226473e911-7c7b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-parallax.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/showcase-parallax.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:03	88358/88358	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90d-15926%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/page-about.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/page-about.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:03	57828/57828	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-e1e4%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/page-services.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/page-services.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:03	71341/71341	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-116ad%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/page-team.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/page-team.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:03	23295/23295	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90d-5aff%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/page-contact.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/page-contact.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:03	34218/34218	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-85aa%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-2.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-2.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:04	40148/40148	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-9cd4%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-3.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-3.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
